Leg0,Leg1,Spine,Beta_Acc,Beta
1740.00,60.00,107.50,-1.22,-0.09
1752.00,48.00,107.35,-0.49,-0.11
1764.00,36.00,107.24,-0.98,-0.13
1764.00,36.00,107.24,-0.85,-0.16
1776.00,24.00,107.16,0.37,-0.15
1776.00,24.00,107.16,-0.24,-0.15
1788.00,12.00,107.12,-0.18,-0.16
1788.00,12.00,107.12,-0.18,-0.16
1800.00,0.00,107.10,-0.24,-0.17
1800.00,0.00,107.10,0.00,-0.17
1788.00,12.00,107.12,0.79,-0.15
1776.00,24.00,107.16,-0.61,-0.16
1776.00,24.00,107.16,-0.37,-0.17
1764.00,36.00,107.24,-0.30,-0.18
1764.00,36.00,107.24,0.79,-0.16
1752.00,48.00,107.35,0.98,-0.13
1752.00,48.00,107.35,0.30,-0.13
1740.00,60.00,107.50,-0.24,-0.13
1740.00,60.00,107.50,0.18,-0.13
1728.00,72.00,107.67,0.61,-0.11
1716.00,84.00,107.88,0.00,-0.11
1716.00,84.00,107.88,-0.06,-0.11
1704.00,96.00,108.11,0.06,-0.11
1704.00,96.00,108.11,-0.18,-0.12
1692.00,108.00,108.38,-0.12,-0.12
1692.00,108.00,108.38,0.61,-0.10
1680.00,120.00,108.68,0.06,-0.10
1680.00,120.00,108.68,0.12,-0.10
1668.00,132.00,109.01,0.37,-0.09
1668.00,132.00,109.01,-0.67,-0.11
1656.00,144.00,109.37,0.00,-0.11
1644.00,156.00,109.77,-0.37,-0.12
1644.00,156.00,109.77,-0.67,-0.13
1632.00,168.00,110.19,-0.24,-0.14
1632.00,168.00,110.19,0.00,-0.14
1620.00,180.00,110.64,0.12,-0.14
1620.00,180.00,110.64,0.49,-0.12
1608.00,192.00,111.13,0.55,-0.11
1608.00,192.00,111.13,0.00,-0.11
1596.00,204.00,111.64,-0.79,-0.13
1584.00,216.00,112.18,0.67,-0.11
1584.00,216.00,112.18,2.38,-0.05
1572.00,228.00,112.76,-0.43,-0.06
1572.00,228.00,112.76,-0.24,-0.07
1560.00,240.00,113.36,-0.30,-0.07
1560.00,240.00,113.36,0.12,-0.07
1548.00,252.00,113.99,0.00,-0.07
1548.00,252.00,113.99,0.12,-0.07
1536.00,264.00,114.65,0.00,-0.07
1524.00,276.00,115.34,0.55,-0.05
1524.00,276.00,115.34,1.34,-0.01
1512.00,288.00,116.06,1.71,0.03
1512.00,288.00,116.06,3.17,0.12
1500.00,300.00,116.80,0.98,0.15
1500.00,300.00,116.80,0.24,0.15
1488.00,312.00,117.57,0.24,0.16
1488.00,312.00,117.57,-0.18,0.16
1476.00,324.00,118.37,0.00,0.16
1476.00,324.00,118.37,0.85,0.18
1464.00,336.00,119.20,0.30,0.19
1452.00,348.00,120.05,0.00,0.19
1452.00,348.00,120.05,0.24,0.19
1440.00,360.00,120.93,2.26,0.26
1440.00,360.00,120.93,1.89,0.31
1428.00,372.00,121.83,1.10,0.34
1428.00,372.00,121.83,1.40,0.38
1416.00,384.00,122.76,1.59,0.42
1416.00,384.00,122.76,0.49,0.44
1404.00,396.00,123.71,1.22,0.47
1392.00,408.00,124.69,0.67,0.49
1392.00,408.00,124.69,0.73,0.51
1380.00,420.00,125.70,0.00,0.51
1380.00,420.00,125.70,0.61,0.52
1368.00,432.00,126.72,1.28,0.56
1368.00,432.00,126.72,5.30,0.71
1356.00,444.00,127.77,-2.13,0.65
1356.00,444.00,127.77,0.55,0.66
1344.00,456.00,128.84,4.33,0.78
1332.00,468.00,129.94,2.01,0.84
1332.00,468.00,129.94,1.10,0.87
1320.00,480.00,131.05,0.12,0.87
1320.00,480.00,131.05,-0.98,0.84
1308.00,492.00,132.19,-0.49,0.83
1308.00,492.00,132.19,1.10,0.86
1296.00,504.00,133.35,2.26,0.92
1296.00,504.00,133.35,1.04,0.95
1284.00,516.00,134.53,0.55,0.97
1272.00,528.00,135.73,1.40,1.01
1272.00,528.00,135.73,0.30,1.01
1260.00,540.00,136.94,0.24,1.02
1260.00,540.00,136.94,-0.49,1.01
1248.00,552.00,138.18,0.79,1.03
1248.00,552.00,138.18,1.22,1.06
1236.00,564.00,139.43,1.22,1.10
1236.00,564.00,139.43,1.77,1.15
1224.00,576.00,140.71,0.37,1.16
1224.00,576.00,140.71,2.62,1.23
1212.00,588.00,141.99,-0.73,1.21
1200.00,600.00,143.30,-0.06,1.21
1200.00,600.00,143.30,0.06,1.21
1188.00,612.00,144.62,1.34,1.25
1188.00,612.00,144.62,1.89,1.30
1176.00,624.00,145.96,1.28,1.33
1176.00,624.00,145.96,0.55,1.35
1164.00,636.00,147.31,-1.28,1.31
1164.00,636.00,147.31,0.85,1.34
1152.00,648.00,148.67,3.66,1.44
1140.00,660.00,150.05,3.78,1.54
1140.00,660.00,150.05,3.17,1.63
1128.00,672.00,151.44,4.57,1.76
1128.00,672.00,151.44,10.00,2.03
1116.00,684.00,152.85,8.54,2.27
1116.00,684.00,152.85,5.30,2.42
1104.00,696.00,154.26,7.62,2.63
1104.00,696.00,154.26,8.35,2.86
1092.00,708.00,155.69,6.89,3.05
1080.00,720.00,157.13,5.73,3.21
1080.00,720.00,157.13,7.56,3.42
1068.00,732.00,158.57,1.46,3.46
1068.00,732.00,158.57,3.96,3.57
1056.00,744.00,160.03,5.12,3.71
1056.00,744.00,160.03,5.91,3.87
1044.00,756.00,161.49,5.79,4.03
1044.00,756.00,161.49,5.24,4.18
1032.00,768.00,162.97,5.37,4.32
1020.00,780.00,164.45,6.89,4.52
1020.00,780.00,164.45,4.45,4.64
1008.00,792.00,165.93,1.89,4.69
1008.00,792.00,165.93,0.79,4.71
996.00,804.00,167.43,4.63,4.84
996.00,804.00,167.43,1.83,4.89
984.00,816.00,168.92,2.07,4.95
984.00,816.00,168.92,9.15,5.20
972.00,828.00,170.43,8.05,5.42
960.00,840.00,171.93,5.18,5.56
960.00,840.00,171.93,2.87,5.64
948.00,852.00,173.44,-0.91,5.62
948.00,852.00,173.44,1.95,5.67
936.00,864.00,174.95,1.40,5.71
936.00,864.00,174.95,2.01,5.77
924.00,876.00,176.47,1.34,5.80
924.00,876.00,176.47,4.70,5.93
912.00,888.00,177.98,4.57,6.06
912.00,888.00,177.98,2.99,6.14
900.00,900.00,179.50,2.62,6.21
888.00,912.00,181.02,0.49,6.23
888.00,912.00,181.02,1.65,6.27
876.00,924.00,182.53,1.77,6.32
876.00,924.00,182.53,0.61,6.34
864.00,936.00,184.05,4.45,6.46
864.00,936.00,184.05,4.45,6.58
852.00,948.00,185.56,-0.06,6.58
852.00,948.00,185.56,0.06,6.58
840.00,960.00,187.07,1.40,6.62
828.00,972.00,188.57,1.83,6.67
828.00,972.00,188.57,2.20,6.73
816.00,984.00,190.08,5.12,6.87
816.00,984.00,190.08,3.17,6.96
804.00,996.00,191.57,0.06,6.96
804.00,996.00,191.57,3.29,7.05
792.00,1008.00,193.07,-0.55,7.04
792.00,1008.00,193.07,-0.55,7.02
780.00,1020.00,194.55,2.68,7.10
780.00,1020.00,194.55,-0.91,7.07
768.00,1032.00,196.03,2.74,7.15
756.00,1044.00,197.51,4.39,7.27
756.00,1044.00,197.51,6.46,7.45
744.00,1056.00,198.97,0.73,7.47
744.00,1056.00,198.97,0.00,7.47
732.00,1068.00,200.43,0.00,7.47
732.00,1068.00,200.43,0.61,7.49
720.00,1080.00,201.87,-2.26,7.42
720.00,1080.00,201.87,2.01,7.48
708.00,1092.00,203.31,5.30,7.63
696.00,1104.00,204.74,4.21,7.74
696.00,1104.00,204.74,-3.35,7.65
684.00,1116.00,206.15,1.52,7.69
684.00,1116.00,206.15,-0.85,7.67
672.00,1128.00,207.56,-0.55,7.65
672.00,1128.00,207.56,1.71,7.70
660.00,1140.00,208.95,2.13,7.76
660.00,1140.00,208.95,2.26,7.82
648.00,1152.00,210.33,2.74,7.90
636.00,1164.00,211.69,1.77,7.95
636.00,1164.00,211.69,-0.24,7.94
624.00,1176.00,213.04,0.55,7.95
624.00,1176.00,213.04,0.61,7.97
612.00,1188.00,214.38,-1.04,7.94
612.00,1188.00,214.38,-0.91,7.92
600.00,1200.00,215.70,0.73,7.94
600.00,1200.00,215.70,1.95,7.99
588.00,1212.00,217.01,2.74,8.07
576.00,1224.00,218.29,1.71,8.11
576.00,1224.00,218.29,-0.12,8.11
564.00,1236.00,219.57,-1.77,8.06
564.00,1236.00,219.57,-1.95,8.01
552.00,1248.00,220.82,0.12,8.01
552.00,1248.00,220.82,-2.07,7.95
540.00,1260.00,222.06,-0.73,7.93
540.00,1260.00,222.06,-2.13,7.88
528.00,1272.00,223.27,-0.06,7.87
516.00,1284.00,224.47,1.83,7.92
516.00,1284.00,224.47,-1.04,7.90
504.00,1296.00,225.65,-1.77,7.85
504.00,1296.00,225.65,-3.54,7.75
492.00,1308.00,226.81,-19.70,7.20
492.00,1308.00,226.81,-4.70,7.07
480.00,1320.00,227.95,0.61,7.09
480.00,1320.00,227.95,0.98,7.12
468.00,1332.00,229.06,-1.77,7.07
468.00,1332.00,229.06,0.73,7.09
456.00,1344.00,230.16,0.67,7.11
444.00,1356.00,231.23,-1.40,7.07
444.00,1356.00,231.23,-1.16,7.04
432.00,1368.00,232.28,-1.22,7.00
432.00,1368.00,232.28,-1.40,6.96
420.00,1380.00,233.30,-4.09,6.85
420.00,1380.00,233.30,-1.65,6.81
408.00,1392.00,234.31,-3.05,6.72
408.00,1392.00,234.31,-3.05,6.64
396.00,1404.00,235.29,-1.71,6.59
384.00,1416.00,236.24,-0.18,6.59
384.00,1416.00,236.24,-0.98,6.56
372.00,1428.00,237.17,-1.46,6.52
372.00,1428.00,237.17,-2.01,6.46
360.00,1440.00,238.07,-2.20,6.40
360.00,1440.00,238.07,-4.02,6.29
348.00,1452.00,238.95,-4.21,6.17
348.00,1452.00,238.95,-3.60,6.07
336.00,1464.00,239.80,-7.32,5.87
324.00,1476.00,240.63,-13.29,5.50
324.00,1476.00,240.63,-18.29,5.00
312.00,1488.00,241.43,-30.55,4.15
312.00,1488.00,241.43,-35.12,3.18
300.00,1500.00,242.20,-115.43,-0.02
300.00,1500.00,242.20,31.77,0.86
288.00,1512.00,242.94,-4.27,0.74
288.00,1512.00,242.94,1.83,0.79
276.00,1524.00,243.66,-0.18,0.79
264.00,1536.00,244.35,0.00,0.79
264.00,1536.00,244.35,0.43,0.80
252.00,1548.00,245.01,1.89,0.85
252.00,1548.00,245.01,1.16,0.88
240.00,1560.00,245.64,-1.71,0.83
240.00,1560.00,245.64,1.04,0.86
228.00,1572.00,246.24,1.89,0.92
228.00,1572.00,246.24,-0.98,0.89
216.00,1584.00,246.82,1.95,0.94
204.00,1596.00,247.36,-1.77,0.89
204.00,1596.00,247.36,2.38,0.96
192.00,1608.00,247.87,-0.61,0.94
192.00,1608.00,247.87,-0.79,0.92
180.00,1620.00,248.36,-0.30,0.91
180.00,1620.00,248.36,0.00,0.91
168.00,1632.00,248.81,0.12,0.92
168.00,1632.00,248.81,-0.12,0.91
156.00,1644.00,249.23,-0.85,0.89
156.00,1644.00,249.23,0.55,0.90
144.00,1656.00,249.63,-0.67,0.89
132.00,1668.00,249.99,4.45,1.01
132.00,1668.00,249.99,-0.12,1.01
120.00,1680.00,250.32,0.24,1.01
120.00,1680.00,250.32,-1.40,0.97
108.00,1692.00,250.62,1.16,1.01
108.00,1692.00,250.62,0.12,1.01
96.00,1704.00,250.89,0.24,1.02
96.00,1704.00,250.89,1.28,1.05
84.00,1716.00,251.12,1.16,1.08
72.00,1728.00,251.33,-0.91,1.06
72.00,1728.00,251.33,0.67,1.08
60.00,1740.00,251.50,0.06,1.08
60.00,1740.00,251.50,-1.04,1.05
48.00,1752.00,251.65,-0.85,1.03
48.00,1752.00,251.65,0.00,1.03
36.00,1764.00,251.76,-0.18,1.02
36.00,1764.00,251.76,-0.49,1.01
24.00,1776.00,251.84,-0.67,0.99
12.00,1788.00,251.88,0.12,0.99
12.00,1788.00,251.88,0.12,1.00
0.00,1800.00,251.90,-0.55,0.98
0.00,1800.00,251.90,0.43,0.99
12.00,1788.00,251.88,0.79,1.01
12.00,1788.00,251.88,-0.12,1.01
24.00,1776.00,251.84,0.24,1.02
24.00,1776.00,251.84,0.18,1.02
36.00,1764.00,251.76,0.37,1.03
36.00,1764.00,251.76,0.73,1.05
48.00,1752.00,251.65,-0.79,1.03
60.00,1740.00,251.50,0.49,1.04
60.00,1740.00,251.50,-0.55,1.03
72.00,1728.00,251.33,0.06,1.03
72.00,1728.00,251.33,0.61,1.05
84.00,1716.00,251.12,-0.43,1.04
84.00,1716.00,251.12,0.67,1.05
96.00,1704.00,250.89,0.73,1.07
96.00,1704.00,250.89,0.00,1.07
108.00,1692.00,250.62,0.00,1.07
120.00,1680.00,250.32,1.28,1.11
120.00,1680.00,250.32,-0.24,1.10
132.00,1668.00,249.99,0.49,1.12
132.00,1668.00,249.99,0.00,1.12
144.00,1656.00,249.63,-0.18,1.11
144.00,1656.00,249.63,-0.24,1.10
156.00,1644.00,249.23,0.00,1.10
156.00,1644.00,249.23,0.91,1.13
168.00,1632.00,248.81,1.28,1.16
180.00,1620.00,248.36,-0.79,1.14
180.00,1620.00,248.36,-2.44,1.08
192.00,1608.00,247.87,2.44,1.14
192.00,1608.00,247.87,2.26,1.21
204.00,1596.00,247.36,4.39,1.33
204.00,1596.00,247.36,3.72,1.43
216.00,1584.00,246.82,0.73,1.45
216.00,1584.00,246.82,-0.67,1.43
228.00,1572.00,246.24,0.91,1.46
228.00,1572.00,246.24,0.06,1.46
240.00,1560.00,245.64,1.71,1.51
252.00,1548.00,245.01,0.24,1.51
252.00,1548.00,245.01,0.24,1.52
264.00,1536.00,244.35,0.30,1.53
264.00,1536.00,244.35,0.73,1.55
276.00,1524.00,243.66,-0.67,1.53
276.00,1524.00,243.66,-0.30,1.52
288.00,1512.00,242.94,-0.30,1.51
288.00,1512.00,242.94,-0.12,1.51
300.00,1500.00,242.20,-1.46,1.47
312.00,1488.00,241.43,-0.91,1.44
312.00,1488.00,241.43,0.00,1.44
324.00,1476.00,240.63,-0.37,1.43
324.00,1476.00,240.63,-0.67,1.41
336.00,1464.00,239.80,0.06,1.42
336.00,1464.00,239.80,-0.12,1.41
348.00,1452.00,238.95,-0.61,1.40
348.00,1452.00,238.95,-0.49,1.38
360.00,1440.00,238.07,-1.22,1.35
372.00,1428.00,237.17,-2.74,1.27
372.00,1428.00,237.17,-0.61,1.26
384.00,1416.00,236.24,-1.71,1.21
384.00,1416.00,236.24,0.61,1.23
396.00,1404.00,235.29,-0.12,1.22
396.00,1404.00,235.29,-1.28,1.19
408.00,1392.00,234.31,0.73,1.21
408.00,1392.00,234.31,-1.16,1.17
420.00,1380.00,233.30,-3.05,1.09
432.00,1368.00,232.28,-1.04,1.06
432.00,1368.00,232.28,-0.79,1.04
444.00,1356.00,231.23,-1.34,1.00
444.00,1356.00,231.23,-0.18,1.00
456.00,1344.00,230.16,-1.46,0.96
456.00,1344.00,230.16,-2.01,0.90
468.00,1332.00,229.06,-1.22,0.87
468.00,1332.00,229.06,-0.55,0.85
480.00,1320.00,227.95,0.37,0.86
480.00,1320.00,227.95,-0.37,0.85
492.00,1308.00,226.81,0.73,0.87
504.00,1296.00,225.65,-1.59,0.83
504.00,1296.00,225.65,0.00,0.83
516.00,1284.00,224.47,-1.71,0.78
516.00,1284.00,224.47,-0.85,0.76
528.00,1272.00,223.27,1.16,0.79
528.00,1272.00,223.27,-1.10,0.76
540.00,1260.00,222.06,-0.79,0.74
540.00,1260.00,222.06,0.37,0.75
552.00,1248.00,220.82,-2.01,0.69
564.00,1236.00,219.57,-5.00,0.55
564.00,1236.00,219.57,-0.18,0.55
576.00,1224.00,218.29,-0.85,0.53
576.00,1224.00,218.29,-2.26,0.46
588.00,1212.00,217.01,0.91,0.49
588.00,1212.00,217.01,-0.73,0.47
600.00,1200.00,215.70,-1.52,0.43
600.00,1200.00,215.70,-0.43,0.42
612.00,1188.00,214.38,-1.95,0.36
624.00,1176.00,213.04,-5.43,0.21
624.00,1176.00,213.04,-3.48,0.12
636.00,1164.00,211.69,-1.52,0.07
636.00,1164.00,211.69,-1.95,0.02
648.00,1152.00,210.33,-7.32,-0.18
648.00,1152.00,210.33,-6.77,-0.37
660.00,1140.00,208.95,-8.96,-0.62
660.00,1140.00,208.95,-15.79,-1.06
672.00,1128.00,207.56,-16.34,-1.51
684.00,1116.00,206.15,-18.66,-2.03
684.00,1116.00,206.15,-16.83,-2.49
696.00,1104.00,204.74,-9.94,-2.77
696.00,1104.00,204.74,1.46,-2.73
708.00,1092.00,203.31,-3.54,-2.82
708.00,1092.00,203.31,-7.26,-3.03
720.00,1080.00,201.87,-7.01,-3.22
720.00,1080.00,201.87,-3.05,-3.30
732.00,1068.00,200.43,-4.82,-3.44
732.00,1068.00,200.43,-3.48,-3.53
744.00,1056.00,198.97,-2.32,-3.60
756.00,1044.00,197.51,-3.60,-3.70
756.00,1044.00,197.51,-5.79,-3.86
768.00,1032.00,196.03,-8.78,-4.10
768.00,1032.00,196.03,-7.44,-4.31
780.00,1020.00,194.55,-2.20,-4.37
780.00,1020.00,194.55,-1.34,-4.40
792.00,1008.00,193.07,-1.59,-4.45
792.00,1008.00,193.07,-1.83,-4.50
804.00,996.00,191.57,-4.09,-4.61
816.00,984.00,190.08,-0.98,-4.64
816.00,984.00,190.08,-1.65,-4.68
828.00,972.00,188.57,-3.90,-4.79
828.00,972.00,188.57,-3.11,-4.88
840.00,960.00,187.07,-6.52,-5.06
840.00,960.00,187.07,-11.83,-5.38
852.00,948.00,185.56,-3.35,-5.48
852.00,948.00,185.56,-2.20,-5.54
864.00,936.00,184.05,-2.56,-5.61
876.00,924.00,182.53,-2.07,-5.66
876.00,924.00,182.53,-1.40,-5.70
888.00,912.00,181.02,-1.46,-5.74
888.00,912.00,181.02,-3.48,-5.84
900.00,900.00,179.50,-4.21,-5.95
900.00,900.00,179.50,-0.98,-5.98
912.00,888.00,177.98,-2.50,-6.05
912.00,888.00,177.98,0.49,-6.04
924.00,876.00,176.47,-0.67,-6.06
936.00,864.00,174.95,-3.60,-6.16
936.00,864.00,174.95,-5.61,-6.31
948.00,852.00,173.44,-7.80,-6.53
948.00,852.00,173.44,-2.01,-6.58
960.00,840.00,171.93,1.28,-6.55
960.00,840.00,171.93,-2.44,-6.61
972.00,828.00,170.43,1.04,-6.58
972.00,828.00,170.43,-1.22,-6.62
984.00,816.00,168.92,-2.32,-6.68
996.00,804.00,167.43,-0.85,-6.71
996.00,804.00,167.43,-1.89,-6.76
1008.00,792.00,165.93,-0.73,-6.78
1008.00,792.00,165.93,-3.41,-6.87
1020.00,780.00,164.45,-8.17,-7.10
1020.00,780.00,164.45,-1.34,-7.14
1032.00,768.00,162.97,5.00,-7.00
1032.00,768.00,162.97,-1.83,-7.05
1044.00,756.00,161.49,-1.71,-7.10
1044.00,756.00,161.49,-1.22,-7.13
1056.00,744.00,160.03,0.79,-7.11
1068.00,732.00,158.57,-2.38,-7.17
1068.00,732.00,158.57,-2.26,-7.24
1080.00,720.00,157.13,-6.22,-7.41
1080.00,720.00,157.13,-2.38,-7.47
1092.00,708.00,155.69,0.85,-7.45
1092.00,708.00,155.69,-1.34,-7.49
1104.00,696.00,154.26,-0.67,-7.51
1104.00,696.00,154.26,-0.55,-7.52
1116.00,684.00,152.85,-2.56,-7.59
1128.00,672.00,151.44,-4.39,-7.71
1128.00,672.00,151.44,-0.37,-7.72
1140.00,660.00,150.05,5.79,-7.56
1140.00,660.00,150.05,-3.05,-7.65
1152.00,648.00,148.67,-0.30,-7.66
1152.00,648.00,148.67,-1.10,-7.69
1164.00,636.00,147.31,-0.79,-7.71
1164.00,636.00,147.31,1.40,-7.67
1176.00,624.00,145.96,-0.37,-7.68
1188.00,612.00,144.62,0.18,-7.67
1188.00,612.00,144.62,-5.43,-7.82
1200.00,600.00,143.30,-0.55,-7.84
1200.00,600.00,143.30,2.26,-7.78
1212.00,588.00,141.99,-0.61,-7.79
1212.00,588.00,141.99,1.89,-7.74
1224.00,576.00,140.71,1.22,-7.71
1224.00,576.00,140.71,0.30,-7.70
1236.00,564.00,139.43,0.06,-7.70
1248.00,552.00,138.18,-4.21,-7.81
1248.00,552.00,138.18,4.63,-7.69
1260.00,540.00,136.94,10.55,-7.39
1260.00,540.00,136.94,0.61,-7.38
1272.00,528.00,135.73,0.30,-7.37
1272.00,528.00,135.73,1.77,-7.32
1284.00,516.00,134.53,-0.24,-7.33
1284.00,516.00,134.53,0.73,-7.31
1296.00,504.00,133.35,4.51,-7.18
1296.00,504.00,133.35,1.65,-7.14
1308.00,492.00,132.19,2.74,-7.06
1320.00,480.00,131.05,3.23,-6.97
1320.00,480.00,131.05,1.83,-6.92
1332.00,468.00,129.94,2.44,-6.85
1332.00,468.00,129.94,1.22,-6.82
1344.00,456.00,128.84,1.95,-6.77
1344.00,456.00,128.84,5.61,-6.61
1356.00,444.00,127.77,5.98,-6.44
1356.00,444.00,127.77,6.40,-6.27
1368.00,432.00,126.72,9.09,-6.02
1380.00,420.00,125.70,12.32,-5.68
1380.00,420.00,125.70,11.65,-5.35
1392.00,408.00,124.69,22.32,-4.74
1392.00,408.00,124.69,48.54,-3.39
1404.00,396.00,123.71,102.01,-0.57
1404.00,396.00,123.71,-4.33,-0.69
1416.00,384.00,122.76,0.55,-0.68
1416.00,384.00,122.76,-6.59,-0.86
1428.00,372.00,121.83,-0.43,-0.87
1440.00,360.00,120.93,0.30,-0.86
1440.00,360.00,120.93,0.49,-0.85
1452.00,348.00,120.05,0.30,-0.84
1452.00,348.00,120.05,-0.91,-0.86
1464.00,336.00,119.20,-5.18,-1.01
1464.00,336.00,119.20,-1.46,-1.05
1476.00,324.00,118.37,-0.67,-1.07
1476.00,324.00,118.37,-0.24,-1.07
1488.00,312.00,117.57,-1.95,-1.13
1500.00,300.00,116.80,-1.28,-1.16
1500.00,300.00,116.80,-1.28,-1.20
1512.00,288.00,116.06,-1.34,-1.23
1512.00,288.00,116.06,-2.20,-1.30
